pheno_id,user_id,month,phenotype_score
1,621e32af67b776a24045b4cf,5,0.521
2,621e32af67b776a24045b4cf,6,0.518
3,621e32af67b776a24045b4cf,7,0.482
4,621e32af67b776a24045b4cf,8,0.506
5,621e337667b776a240ce78ab,5,0.586
6,621e337667b776a240ce78ab,6,0.632
7,621e337667b776a240ce78ab,7,0.711
8,621e337667b776a240ce78ab,8,0.801
9,621e33b067b776a240f39e56,5,0.539
10,621e33b067b776a240f39e56,6,0.569
11,621e33b067b776a240f39e56,7,0.644
12,621e33b067b776a240f39e56,8,0.718
13,621e375b67b776a240290cdc,5,0.778
14,621e375b67b776a240290cdc,6,0.75
15,621e375b67b776a240290cdc,7,0.723
16,621e375b67b776a240290cdc,8,0.761
17,621e2e8e67b776a24055b564,5,0.629
18,621e2e8e67b776a24055b564,6,0.662
19,621e2e8e67b776a24055b564,7,0.739
20,621e2e8e67b776a24055b564,8,0.747
21,621e2fce67b776a240279baa,5,0.645
22,621e2fce67b776a240279baa,6,0.448
23,621e2fce67b776a240279baa,7,0.575
24,621e2fce67b776a240279baa,8,0.62
25,621e326767b776a24012e179,5,0.738
26,621e326767b776a24012e179,6,0.721
27,621e326767b776a24012e179,7,0.612
28,621e326767b776a24012e179,8,0.68
29,621e2f3967b776a240c654db,5,0.685
30,621e2f3967b776a240c654db,6,0.724
31,621e2f3967b776a240c654db,7,0.717
32,621e2f3967b776a240c654db,8,0.681
33,621e329067b776a2402ffad2,5,0.46
34,621e329067b776a2402ffad2,6,0.569
35,621e329067b776a2402ffad2,7,0.788
36,621e329067b776a2402ffad2,8,0.66
37,621e333967b776a240a3cd06,5,0.745
38,621e333967b776a240a3cd06,6,0.728
39,621e333967b776a240a3cd06,7,0.693
40,621e333967b776a240a3cd06,8,0.777
41,621e339967b776a240e502de,5,0.793
42,621e339967b776a240e502de,6,0.751
43,621e339967b776a240e502de,7,0.771
44,621e339967b776a240e502de,8,0.765
45,621e32e667b776a2406d2f1c,5,0.767
46,621e32e667b776a2406d2f1c,6,0.651
47,621e32e667b776a2406d2f1c,7,0.773
48,621e32e667b776a2406d2f1c,8,0.78
49,621e2eaf67b776a2406b14ac,5,0.817
50,621e2eaf67b776a2406b14ac,6,0.765
51,621e2eaf67b776a2406b14ac,7,0.737
52,621e2eaf67b776a2406b14ac,8,0.656
53,621e33cf67b776a240087de9,5,0.812
54,621e33cf67b776a240087de9,6,0.607
55,621e33cf67b776a240087de9,7,0.6
56,621e33cf67b776a240087de9,8,0.592
57,621e366567b776a24076a727,5,0.657
58,621e366567b776a24076a727,6,0.664
59,621e366567b776a24076a727,7,0.659
60,621e366567b776a24076a727,8,0.611
61,621e30b267b776a240c5e13f,5,0.73
62,621e30b267b776a240c5e13f,6,0.747
63,621e30b267b776a240c5e13f,7,0.754
64,621e30b267b776a240c5e13f,8,0.765
